RR,Ntm,Ftm,Cellsize,Na1,Nt1,Nt2,Fa1,Ft1,Ft2,NCR,NucI,NucRR,NucNtm,Activation,Donor,Gender
0.93156718,415.5436295,247.938023,433.5,84.30217585,248.824785,1361.09175,93.16297791,100.9873856,2257.335776,0.032142857,413.416121,0.931325644,610.5916955,1,2,1
0.923491476,417.355536,321.5747323,361.5,84.5903274,249.6259717,1429.896928,87.79760104,117.4919174,1806.430821,0.353932584,399.8957264,0.931550298,531.6099585,1,2,1
0.905914951,489.1781717,282.4024538,270,84.61783353,271.9656345,1838.750992,90.24834772,94.73136183,2016.412453,0.118012422,487.34374,0.901489004,574.4,1,2,1
0.892988684,521.820295,291.1695304,868.5,84.54821937,277.7480848,1900.566836,90.35976504,105.0904759,2095.10427,0.327981651,499.7868364,0.883028574,611.2055268,1,2,1
0.909608418,578.3022749,275.8852639,384,84.32384005,292.2460615,2246.587823,91.43275246,113.8697801,2115.387343,0.430167598,536.0608081,0.898762664,423.78125,1,2,1
0.873188766,539.5123066,266.8883927,678,84.21677722,280.8642551,1946.384233,91.00793931,100.5420872,1876.206498,0.020316027,536.94966,0.874478854,671.420354,1,2,1
0.899515098,535.7914995,84.2093884,363,80.4884345,265.6410819,1703.635848,97.91585479,38.49130062,2280.418104,0.308108108,508.9376119,0.889416017,557.5495868,1,2,1
0.874473621,443.8242987,269.2580287,282,83.66092096,259.5753224,1470.91634,91.04887111,86.71756495,2138.345036,0.212903226,425.8040742,0.878102524,563.1276596,1,2,1
0.839026733,782.656632,103.8727429,280.5,76.46347332,297.9975526,2654.117794,97.32085524,51.09012035,2002.717888,0.230263158,775.0266394,0.834618439,515.4117647,1,2,1
0.909051643,617.028049,183.563343,204,84.13871182,279.6632908,2496.954318,93.24957183,72.09930199,1755.444201,0.070866142,598.5115976,0.906553946,590.8382353,1,2,1
0.930995804,571.5300821,116.383152,750,85.03530693,284.7631888,2194.644208,95.81690852,55.73058127,1663.717896,0.470588235,525.9323908,0.933404047,556.508,1,2,1
0.891952692,524.5195731,218.9841605,265.5,84.7138086,280.6277882,1860.609455,92.45352429,73.30263359,2124.805372,0.134615385,505.6898914,0.889488988,730.8305085,1,2,1
0.883526227,520.8711622,234.9620293,735,82.62739051,255.0336196,1759.981336,92.010586,88.6215712,2075.527803,0.565495208,462.5279341,0.90721249,531.7714286,1,2,1
0.924493718,515.1365461,254.8314656,711,85.73021396,278.989292,1969.264324,92.22381425,90.34778225,2268.244459,0.538961039,469.5940171,0.931884117,509.0379747,1,2,1
0.868344135,443.6640143,259.7051089,376.5,84.57815786,266.9521849,1540.548291,89.61268997,96.29781698,1779.747804,0.792857143,411.8451027,0.846741597,433.1195219,1,2,1
0.917700606,390.3196239,128.6184296,157.5,82.57697304,244.9878689,1126.385891,96.80020465,53.71031421,2416.630759,0.141304348,386.0429115,0.919572935,716.0761905,1,2,1
0.906175568,349.3720717,234.713334,124.5,79.55120781,222.7501938,857.8088479,94.46121048,87.17526132,2795.505934,0.23880597,352.7952686,0.913154636,608.060241,1,2,1
0.848580546,417.2357318,159.307527,117,82.42703707,236.1475232,1316.346579,93.91948724,53.48956063,1828.807305,0.238095238,413.9937928,0.835389649,476.3333333,1,2,1
0.927064062,361.4748273,212.1324818,972,81.57172395,229.7552891,1031.241569,93.45543917,81.33921338,2183.677358,0.785123967,345.0878644,0.932870242,632.1481481,1,2,1
0.951045905,414.5166693,117.9994454,777,82.12931674,253.9699954,1250.354924,97.34787183,59.85860369,2180.402934,0.314720812,395.3109958,0.954781681,613.3262548,1,2,1
0.863903828,454.3159805,158.3830093,321,85.02592441,276.4929754,1551.000474,95.54857033,61.52607913,2327.242454,1.578313253,400.9886472,0.8592186,381.728972,1,2,1
0.927264801,515.8514288,289.7314898,721.5,83.74938063,272.6649972,1803.388941,91.56223896,99.08293659,2376.163054,0.647260274,471.6660815,0.934700164,465.2910603,1,2,1
0.899982282,597.3058745,157.2095336,754.5,82.21917826,265.8694144,1966.81846,95.80997053,57.90817474,2429.027287,0.566978193,517.4013713,0.911447708,499.4234592,1,2,1
0.885924338,437.2714025,151.2420147,339,85.07126918,263.0731454,1492.49695,95.54592409,56.93374939,2056.115854,0.170984456,439.5194548,0.873335217,489.1902655,1,2,1
0.874060856,495.637886,289.491195,339,83.97698796,275.19867,1722.584458,91.21708996,93.61611268,2336.009582,0.20212766,489.8686066,0.868859863,541.8362832,1,2,1
0.920468921,410.7761871,202.2343405,282,84.27921775,250.941506,1334.378003,93.45749017,70.94251906,2214.155657,0.105882353,404.3293144,0.922759624,625.7074468,1,2,1
