NADH,n.t1.mean,n.t2.mean,n.a1.mean,f.t1.mean,f.t2.mean,f.a1.mean,rr.mean,n.tm.mean,f.tm.mean,npix,Group,Donor,Experiment_Date,Activation,Cell_Type
NK_act_1n,297.7337101,2274.929246,62.31030174,196.3568226,1944.822754,69.27907971,0.936483656,1038.476985,720.4140294,345,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,278.0837803,2167.135114,64.00729697,196.7507553,1895.677886,69.46009848,0.947307259,959.8287663,701.2804888,264,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,294.2191151,2313.777664,65.85552138,177.5627108,1866.105569,70.62686382,0.955732851,983.5203445,653.7704311,304,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,299.1517634,2223.668626,64.55473486,177.9444005,2040.65888,69.31251374,0.962636921,988.2763887,714.0980222,393,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,272.7534192,2146.328832,66.01942246,249.2174763,2098.75009,70.67191916,0.955450307,917.8675475,760.9251793,334,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,273.6045752,2301.053023,59.65184141,170.1429592,1958.952547,68.66202298,0.949996266,1089.962143,718.3945373,483,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,300.2095865,2226.25601,65.28253173,175.2854074,1969.121202,71.65808173,0.960241226,969.1516473,666.5828771,208,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,227.7513166,2510.377119,55.24292034,221.1852986,2129.371864,68.99577763,0.934956352,1247.524025,799.2191521,295,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,298.1170379,2430.859068,57.1666236,166.8344023,1730.460621,71.82779503,0.918092509,1203.49296,603.91948,161,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,279.0420189,2281.799972,60.89196602,196.4504387,1920.178691,71.92962312,0.954812666,1060.968226,667.8681409,359,Activated,M,20221101,CD69+,NK-Cells
NK_act_1n,269.3997444,2117.763894,64.40969785,195.817402,2129.591252,72.40975499,0.95192029,942.0657485,718.2808602,511,Activated,M,20221101,CD69+,NK-Cells
