,cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,celltype,NADH,FAD,Group,Donor,Experiment_Date,Activation,Cell_Type
98,195,159.7656904,367.4948912,2281.180753,78.80974561,0.987925921,14.46443515,718.9534131,4012.192736,67.53857708,25.0300985,1.240051126,0.909633119,768.9434832,1349.078538,61.69649482,61.93723176,268.9130548,3.780666464,0.119836721,5.623124411,447.3259374,4171.245696,36.69943455,28.61060403,0.216903835,0.042396483,101.9360335,707.4971614,239,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
99,210,299.0988593,387.3408517,2286.589392,73.96465779,1.011980449,20.33840304,759.9627613,4369.030593,70.68408122,25.13329818,1.191254437,0.932261213,879.3773305,1440.080663,170.7460664,46.61029851,175.4939645,4.31078473,0.1259929,18.31122816,490.7434703,7013.538203,31.85232359,22.85012428,0.207342439,0.038234145,84.75210001,938.2516844,263,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
100,225,219.5853659,387.8821109,2306.811153,73.06203769,1.029551818,16.81374723,749.455433,4945.39167,75.56384167,21.95281081,1.214525392,0.923589678,905.5335991,1411.361363,107.0430595,112.6104675,280.3707274,4.719008867,0.114259915,8.60082099,434.724412,8140.400294,26.04702866,22.41151717,0.249731945,0.029828808,154.9076605,762.4232164,451,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
101,240,305.5512821,359.5119615,2079.812308,78.10942756,1.089221276,100.8717949,489.9551385,2817.529,79.38201756,20.61798365,1.047152712,0.776437481,733.989761,918.6260304,123.0943669,55.18916354,197.493461,3.113217657,0.102341425,76.09414525,361.3300016,1642.649192,11.60739514,11.60739577,0.140742033,0.10163017,73.31969511,474.5326054,156,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
102,255,230.696347,380.9315068,2285.481142,75.01944201,1.007823696,24.17351598,656.3770218,4218.546941,74.9695101,21.66099883,1.226622155,0.895976943,853.4454379,1278.880109,130.6117678,92.00214811,252.403316,4.23828412,0.109598094,21.9058111,502.3330166,5642.742053,28.27404168,23.58699366,0.394134393,0.079655275,117.7641387,1044.923873,438,cyto,NK_act_3n-008,NK_act_3f-009,Activated,D,220303,CD69+,NK-Cells
113,26,245.8502825,380.7057684,2207.558983,73.69695932,1.030309556,17.18079096,710.6435734,5676.708893,70.49136839,24.89280198,1.314225266,0.934468266,857.2000001,1609.34543,115.2779996,115.7071483,241.2323925,4.686907934,0.118023717,14.7740709,452.213018,10989.62304,32.06873181,25.81151137,0.440324469,0.035036081,116.6328747,2028.011272,354,cyto,NK_act_4n-011,NK_act_4f-012,Activated,D,220303,CD69+,NK-Cells
114,51,196.9447236,401.0711943,2502.354288,68.81038727,1.034055838,13.18760469,781.9405897,6525.316585,70.35441952,24.99394942,1.464726447,0.929773834,1052.158158,1913.321916,94.91995193,189.316727,462.9510271,5.910816314,0.108836747,12.60253172,596.0118098,11682.22079,31.48247747,25.59251037,0.606805753,0.059829553,238.5634686,2348.18453,597,cyto,NK_act_4n-011,NK_act_4f-012,Activated,D,220303,CD69+,NK-Cells
115,76,187.2348754,405.4270463,2403.579929,71.37977046,0.977239274,7.65480427,869.7658262,7113.321967,61.30716196,30.35561478,1.750969356,0.9562654,969.3766994,2189.338626,68.2039614,115.9222049,352.6787933,4.041796142,0.114280648,2.956539975,667.3203424,11815.50277,41.30258462,28.70567627,0.944377723,0.022218661,125.6531291,2578.751849,281,cyto,NK_act_4n-011,NK_act_4f-012,Activated,D,220303,CD69+,NK-Cells
116,102,278.4363636,399.2035091,2340.74303,73.66976848,0.988247173,22.50606061,662.084785,4733.152012,72.98923061,23.3683488,1.213357079,0.918183333,908.719438,1324.742661,195.4304824,92.34171978,261.6923543,4.352825282,0.100869248,24.93934818,464.1988489,8891.731144,29.9987436,25.78009729,0.270473082,0.05190476,116.2859386,1009.815623,330,cyto,NK_act_4n-011,NK_act_4f-012,Activated,D,220303,CD69+,NK-Cells
117,128,254.7393768,381.9503711,2378.853258,72.45758187,1.026886144,18.95467422,723.6735906,5024.619978,76.23483215,20.64898232,1.21470696,0.926492847,928.8647838,1373.613674,80.83579777,67.03345096,237.9248959,3.072514143,0.103758949,11.67350277,419.0240753,9845.228614,25.88028582,20.92257985,0.282128474,0.049315988,104.9596979,1048.617424,353,cyto,NK_act_4n-011,NK_act_4f-012,Activated,D,220303,CD69+,NK-Cells
118,153,199.0475207,381.1377459,2253.189277,72.9155595,1.006973533,16.65082645,760.7557665,4941.446264,72.31827213,23.76472243,1.293512676,0.921084637,884.1893589,1578.039581,78.15983924,83.19881876,229.9266825,3.758373534,0.121163829,15.54942628,455.7116108,6849.083929,29.20094286,24.99798088,0.340078038,0.055061431,101.3904479,1475.559123,484,cyto,NK_act_4n-011,NK_act_4f-012,Activated,D,220303,CD69+,NK-Cells
119,178,232.6465517,375.063569,2351.931789,72.99784741,1.012024112,22.90086207,778.1488213,4836.32005,74.20250142,24.09560938,1.252986647,0.916806639,906.2075378,1457.200657,148.9786976,102.5163975,259.8209558,4.610207768,0.122023758,23.62830603,456.8640792,7914.611525,26.90920814,22.92130914,0.291047243,0.040096271,135.3193336,1338.690296,464,cyto,NK_act_4n-011,NK_act_4f-012,Activated,D,220303,CD69+,NK-Cells
120,204,237.7947494,431.1166325,2454.344272,71.76316014,1.006937122,20.15513126,687.1795041,5232.458313,71.01373779,23.0461504,1.256762842,0.914496203,996.0857552,1508.026,180.12468,162.0307957,383.9524721,5.58216257,0.098117909,15.96968693,493.9634224,8531.665685,33.22737803,25.65088828,0.322922576,0.043226654,193.4662823,1364.886663,419,cyto,NK_act_4n-011,NK_act_4f-012,Activated,D,220303,CD69+,NK-Cells
