,NADH_tm,NADH_a1,NADH_t1,NADH_t2,FAD_tm,FAD_a1,FAD_t1,FAD_t2,Norm_RR,Cell_Size_Pix,activation_label,Activation
79,1402.150578,54.01322667,503.5977167,2463.704833,830.5192488,76.57878167,275.44681,2653.217,0.982778012,60,0,CD69-
299,1030.650757,71.25775244,496.7871951,2376.164268,496.4784973,81.39463902,180.8877317,1902.208049,0.999519127,82,0,CD69-
193,1433.368521,47.44868631,370.611631,2394.020119,478.031331,81.507925,106.4992964,2110.590655,0.918047609,168,0,CD69-
235,1089.732978,58.58344667,335.0396,2161.178667,410.2071577,82.81314667,125.8169267,1756.925333,1.030361621,15,0,CD69-
181,1758.456312,48.58934286,615.691449,2910.516939,544.5638394,81.21539592,159.5570245,2243.209184,1.006296941,49,0,CD69-
574,1022.049995,60.77588246,242.9695263,2228.93807,766.2783633,75.10350175,214.8939772,2470.415439,1.102449309,57,0,CD69-
745,1128.763927,59.18443983,296.861822,2337.898136,806.9628905,72.55083729,196.2916763,2437.001525,0.842779222,118,0,CD69-
655,1294.75343,53.713545,271.4785,2489.596,971.495937,67.67595,247.28892,2517.7655,1.028351572,20,0,CD69-
1009,1222.255332,55.40145,294.478,2375.67,549.9411419,75.61065,98.1642,1950.685,1.263362991,2,0,CD69-
9,1349.695431,50.57938095,381.1369762,2344.499762,597.4686622,81.55958571,184.5836548,2431.737381,1.077323184,42,0,CD69-
588,1196.647966,57.6077875,357.514125,2340.51875,919.1389149,70.162925,237.572375,2573.445,1.150171416,8,0,CD69-
579,1259.339823,55.10995138,336.9389779,2402.185083,779.7453839,72.47347072,196.9752652,2328.699282,0.731795025,181,0,CD69-
553,900.3831531,76.38547619,441.4985952,2418.81619,515.3608664,81.32676667,173.8047143,2013.287381,1.074879731,42,1,CD69+
921,1356.252788,54.34727111,349.3295333,2555.342222,786.8272654,71.17674667,183.7768111,2293.232444,1.001495667,45,0,CD69-
661,1099.249537,62.68732593,301.6080185,2446.236111,777.8627863,74.85479815,236.410613,2407.045185,0.994863687,54,0,CD69-
511,845.0521108,77.71825308,444.7534615,2261.826462,504.822627,82.24535154,185.8893669,1995.778769,1.083230474,130,1,CD69+
382,857.5794356,74.51599158,409.4413263,2176.219053,566.153687,77.74770632,181.5184432,1919.922316,1.138178994,95,1,CD69+
955,1168.046009,57.87781688,304.7614286,2357.034805,765.1148159,74.70446104,217.0219065,2390.927273,1.021856785,77,0,CD69-
1128,845.5276828,75.84990758,387.7909091,2288.051061,741.5066169,76.21212576,295.344503,2207.249091,1.337805973,66,1,CD69+
331,987.5799869,67.92247922,416.9190779,2210.716753,603.992408,78.70148182,281.1167922,1842.808701,1.169757458,77,1,CD69+
262,1329.983191,52.25075,353.547,2412.318333,825.257408,81.98386667,368.5302167,2837.52,1.10443534,6,0,CD69-
6,1254.660062,55.68478491,373.2205472,2364.778585,680.095736,75.64572264,163.2327925,2286.551604,0.707206122,106,0,CD69-
266,1327.045504,52.79956082,350.6042577,2427.788454,623.2229037,79.07485876,154.6307227,2383.114227,0.982322032,97,0,CD69-
38,1158.900526,52.20963913,300.6155217,2101.096304,588.8308718,78.99483696,151.9459674,2225.812174,1.103702914,46,0,CD69-
1172,779.2624849,78.09385417,387.8634271,2169.751042,638.1555717,79.30840417,241.2943219,2188.246771,1.309804912,96,1,CD69+
118,1321.972917,51.39575484,431.0442903,2267.189677,798.4443166,75.38783871,217.7774613,2618.187097,0.96293761,31,0,CD69-
