,NADH_tm,NADH_a1,NADH_t1,NADH_t2,FAD_tm,FAD_a1,FAD_t1,FAD_t2,Norm_RR,Cell_Size_Pix,activation_label,Activation
761,927.2199457,65.78015688,353.3813394,2050.555321,571.99385,77.93738257,180.2529174,1963.420459,0.999894399,109,0,CD69-
1412,877.6852668,72.08515387,344.6737857,2339.569821,845.6101422,71.99771369,241.3949015,2477.028065,1.092388942,336,1,CD69+
1446,912.1513903,75.35920402,381.8338328,2576.600464,763.616653,68.22107214,250.2560601,1951.677969,1.083182062,323,1,CD69+
1123,888.7935306,68.4618688,322.6148736,2136.18624,389.755364,81.3823088,131.4434176,1543.17288,1.035106232,125,0,CD69-
788,1059.366565,62.19764464,284.1649188,2365.498929,501.5588904,81.53067411,181.7664554,1917.893929,0.988389672,112,0,CD69-
1648,1141.014278,65.36147102,398.3029745,2575.478981,1099.091917,70.19530096,374.5283981,2854.191624,1.039537827,314,0,CD69-
1575,1134.397742,65.54491027,382.8250714,2592.278661,996.1669771,69.39796161,299.9376067,2601.578795,0.967838274,224,0,CD69-
891,1046.563107,61.75957037,318.7961574,2244.294259,552.3474426,80.37646574,197.2897148,2018.741667,1.03329437,108,0,CD69-
445,767.5964268,71.36058805,286.4577717,1962.527296,525.4528569,80.55075094,194.3788013,1900.279371,1.046246545,159,1,CD69+
1610,1260.50917,62.66592243,440.7273545,2674.295794,1049.107225,70.39772866,328.6114891,2799.169003,0.979834445,321,0,CD69-
464,863.4991009,69.816208,332.0093973,2115.616933,413.6408394,84.447306,136.9323727,1859.834227,0.997297942,150,1,CD69+
1364,1054.46284,70.68841102,382.958707,2717.966909,1103.468144,66.94471452,324.6778876,2773.94914,1.085910175,372,1,CD69+
195,1053.525525,66.12215292,388.2404125,2363.005992,1010.789362,66.13652607,343.3886031,2346.73144,0.986252648,257,0,CD69-
609,1004.143155,64.87853789,348.6336221,2213.547158,575.546163,78.0371,182.8585632,1971.864947,1.022485868,95,0,CD69-
708,928.9579069,63.06328291,298.8824274,2023.561453,514.3068293,81.88928632,182.2149068,2008.038205,1.033696,117,0,CD69-
1520,998.155878,63.71544643,349.1010675,2172.990913,732.5443632,74.79978175,195.2532079,2367.502302,1.045741902,252,0,CD69-
997,923.3922706,66.09269256,352.4660661,2038.17562,518.8127378,78.09250248,174.1333777,1746.849752,1.010629209,121,0,CD69-
784,836.5562966,66.629376,310.55936,1884.6532,438.7261509,84.67162,161.434996,1983.421733,1.037872747,75,0,CD69-
243,820.8048808,72.10152637,360.6638462,2018.193187,647.0215745,76.34466923,207.4987363,2058.815714,1.042102497,91,1,CD69+
401,746.1300892,75.81760472,371.6012925,1942.309811,517.3992373,84.40528491,178.6463491,2369.050472,1.056249477,106,1,CD69+
618,1024.463838,64.29717769,336.1824711,2302.740413,623.0588205,76.50162562,195.8979843,2037.825785,1.026253649,121,0,CD69-
1655,1184.900244,66.96791041,458.8335167,2703.844424,1132.601666,69.95541078,350.3694312,3031.554387,1.050016256,269,0,CD69-
1491,1115.047263,64.88844682,406.1389091,2462.126,904.3685005,71.22128,289.53555,2468.6305,1.016815515,220,0,CD69-
879,914.3427115,66.19224151,322.5762547,2067.054151,534.76012,77.14212642,159.1204736,1826.987358,1.041017761,106,0,CD69-
477,917.408656,72.4049,363.1581579,2399.66807,634.2691141,77.49556491,199.9977544,2126.712632,1.061617058,57,1,CD69+
1530,1156.963282,61.21379185,365.3129185,2442.898296,1010.492032,69.56106148,327.6178689,2619.189593,1.044200858,270,0,CD69-
1617,1234.472813,65.77619908,449.8244509,2788.173344,1067.996892,70.73986166,351.1635767,2826.644847,1.010925735,326,0,CD69-
1000,893.3662539,68.38390442,366.5869292,2042.828053,463.547478,81.0566354,158.4827699,1782.044956,1.022694014,113,0,CD69-
1356,959.8079873,60.56510808,245.0626121,2081.134444,573.2549137,75.70794747,185.9188899,1810.650606,1.015561193,99,0,CD69-
285,961.8302088,70.69638936,383.4021277,2386.039681,637.2144389,78.47357979,225.2964362,2155.624362,1.068353123,94,1,CD69+
471,1635.028064,55.6529293,247.2759943,3388.151911,591.7201283,79.16702548,185.1942102,2152.529427,1.020847189,157,1,CD69+
794,925.6732783,70.0413013,389.1797143,2186.707273,594.9396725,76.9315013,196.1185974,1930.704675,1.048306186,77,0,CD69-
1361,905.8307,76.53440686,389.7417745,2659.567549,870.3748935,71.36537451,283.4772578,2435.027647,1.13041133,102,1,CD69+
1302,856.4119514,66.426225,284.6888773,2021.485795,376.229523,85.63218068,141.6079659,1787.957159,0.996229369,88,0,CD69-
686,1009.342247,63.49990481,328.5287212,2212.952212,684.5577717,75.23583077,233.2345192,2058.013846,0.994132367,104,0,CD69-
1027,899.9232493,64.22422844,330.035789,1928.470642,605.2744879,75.95069358,204.9148532,1878.661743,1.012437073,109,0,CD69-
1074,858.1023982,66.87923978,308.6699785,1964.456344,464.9083244,80.5042871,144.538029,1783.78828,1.027320978,93,0,CD69-
1622,1111.87675,67.39829418,411.5387808,2606.376301,1001.428923,71.24500205,364.6898459,2609.786884,0.926093994,292,0,CD69-
1537,1140.026558,63.97019866,392.608301,2485.128194,984.146445,70.72672074,290.5561649,2674.227993,1.007147628,299,0,CD69-
1585,1103.647878,65.11145685,389.9661964,2467.384367,1091.417529,66.86990646,320.6911271,2682.555633,1.059818736,387,0,CD69-
426,857.4508601,72.20198803,330.7547009,2258.505299,458.5557251,83.4734735,149.7337256,2027.114359,1.007678471,117,1,CD69+
1367,945.2936188,74.81994379,383.3030385,2671.547101,965.9785909,66.44313757,260.9780488,2419.164201,1.070135744,338,1,CD69+
711,1026.755233,61.69234894,284.4299936,2243.78695,528.681862,79.63087234,193.5876979,1860.011915,0.999633702,141,0,CD69-
162,938.4569845,71.73995657,394.2295,2343.079708,967.4009748,71.48633796,384.777788,2485.83219,1.031569945,274,0,CD69-
1079,955.0376496,63.07948791,319.3694253,2044.578791,572.1092242,74.97982088,190.7179209,1724.46956,1.038061594,91,0,CD69-
1044,985.7041763,64.3334469,324.0305841,2190.035221,542.1549829,76.93044779,183.9329912,1745.030796,0.977788954,113,0,CD69-
841,1023.393128,56.55534681,299.623117,1972.328298,593.1220729,76.88622234,189.9066383,1930.441702,1.032458706,94,0,CD69-
1273,1035.941787,61.41860305,315.3346043,2192.180244,625.9719033,75.14293537,204.654872,1891.770854,0.97546252,164,0,CD69-
1533,1093.465847,65.94635261,381.9548434,2493.768032,1044.743207,71.62810241,332.4143454,2896.375141,1.039260273,249,0,CD69-
1639,1227.424158,67.09792667,441.9268259,2868.185815,1007.162477,73.57731148,378.1166578,2919.417704,1.039698489,270,0,CD69-
194,1301.021987,63.46829852,540.9253741,2684.407407,945.2445897,70.42191037,305.3443633,2497.338037,0.991612155,270,0,CD69-
474,984.2861398,68.36212526,350.9459263,2380.411053,584.4342289,77.45295474,189.9836253,1930.929158,1.030180453,95,1,CD69+
1495,1325.474645,59.62539669,383.0371602,2759.370552,991.5032335,71.3654547,309.5952873,2741.48895,1.01422846,181,0,CD69-
569,957.1358374,65.13347778,348.2028056,2124.755139,728.5833967,76.26218889,239.7295278,2288.793194,0.996363214,72,0,CD69-
