cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,NADH,FAD,Group,Donor,Experiment_Date,Activation,Cell_Type
142,207.0505051,376.7948788,2336.428687,69.71494848,1.035056172,33.16161616,300.6263232,2203.032424,76.75569697,23.24430303,0.927210495,0.857136631,962.8279647,739.8922466,66.73376493,70.39370216,246.3374919,4.600732318,0.111989724,19.48767641,63.1995865,217.2944374,2.571608894,2.571608894,0.087122839,0.076267569,86.84870892,50.53912635,99,NK_act_2n-005,NK_act_2f-006,Activated,D,220303,CD69+,NK-Cells
219,415.2020202,396.4302727,2459.497374,75.1356596,1.035262202,27.66666667,412.075899,3022.499495,77.1175596,22.8824404,0.951395586,0.927450229,910.0212605,980.1082886,234.5753427,58.62408727,168.7347262,3.348008596,0.125415452,9.948848769,154.651994,784.2573438,5.588936054,5.588936054,0.103448568,0.030456073,125.1827787,161.3924485,99,NK_act_1n-002,NK_act_1f-003,Activated,D,220303,CD69-,NK-Cells
68,229.5656566,389.0739293,2271.741414,60.78165253,1.037191818,24.76767677,450.5073535,2750.518485,76.84212424,23.15787576,0.91050396,0.89599999,1122.031981,967.3161451,72.13439294,118.9862981,238.3446354,5.870817907,0.098433616,7.018675209,187.8391368,538.1236407,4.948664659,4.948664659,0.113851583,0.037089101,83.73307267,189.4510966,99,NK_unact_5n-032,NK_unact_5f-033,Control,D,220303,CD69-,NK-Cells
95,1026.616162,421.1779798,2676.429899,65.39211616,1.059506879,109.1414141,273.0337172,2412.064141,74.84062323,25.15937677,1.075333485,0.907157002,1201.022371,808.6695129,209.2746807,47.0049208,86.31096113,1.730570097,0.095297588,57.5448379,38.50491234,180.7261605,2.999761838,2.999761838,0.123802501,0.040097842,47.56191709,89.0395567,99,a_2n,a_2f,Activated,M,221101,CD69+,NK-Cells
144,1072.131313,411.9167273,2570.807778,68.93889495,1.124024253,64.84848485,277.6977374,2184.668687,73.24755556,26.75244444,1.035337556,0.946143771,1084.137012,785.0558941,264.793013,24.70871582,110.3099182,3.670334854,0.157843081,36.74105851,45.24613563,170.2000951,2.901941832,2.901941832,0.110691646,0.01974273,114.3256683,69.57424273,99,a_5n,a_5f,Activated,M,221101,CD69+,NK-Cells
120,1118.171717,436.9480707,2818.171212,58.20550101,0.999030646,66.87878788,279.0848586,2411.768384,72.50535253,27.49464747,1.021674727,0.939294811,1429.759271,860.1574281,316.2455143,35.96827762,125.9086516,3.463904689,0.110242727,33.35592617,58.35087311,261.0768242,2.993878249,2.993878249,0.117589473,0.034712117,71.98142174,83.86302479,99,a_6n,a_6f,Activated,M,221101,CD69+,NK-Cells
150,563.0707071,400.9146667,2439.475051,62.16354747,1.034830374,76.48484848,299.1648384,2427.609899,73.74044848,26.25955152,1.05743999,0.880165541,1170.360669,856.4801845,125.2555146,37.13921221,124.9019072,2.216184025,0.131390968,41.92008034,48.6852526,164.245386,1.789850864,1.789850864,0.11113116,0.05886834,40.06633198,48.26565502,99,q_2n,q_2f,Control,M,221101,CD69+,NK-Cells
137,770.9292929,359.3494545,2428.516061,63.92652525,1.085852879,78.53535354,279.8718081,2388.088889,77.28089495,22.71910505,1.024468889,0.903152164,1106.464591,755.4788886,304.9968636,63.50628697,105.9940056,2.956832271,0.095562512,58.25442317,101.4758595,232.9791724,2.85021271,2.85021271,0.125811991,0.06710818,99.26243877,115.7940926,99,q_6n,q_6f,Control,M,221101,CD69-,NK-Cells
17,468.989899,446.8144141,2534.355556,64.13852525,1.082114354,34.19191919,268.6061414,2081.264141,73.28291919,26.71708081,0.894695374,0.930140365,1193.764933,748.4391358,161.3294572,57.64306891,161.9490324,5.799955794,0.116936618,19.62280887,102.5719807,312.1405877,3.499793338,3.499793338,0.072292327,0.03657665,130.4440827,141.0455834,99,a_3n,a_3f,Activated,N,221114,CD69+,NK-Cells
63,491,481.8440404,2670.263333,53.68262222,1.06119799,22.76767677,281.7452525,2176.089495,77.33789091,22.66210879,0.984809293,0.955237017,1490.945444,699.651805,99.61999226,78.81872043,179.5228568,4.927103044,0.099116383,8.853488051,123.1734886,424.216392,4.612297041,4.612297885,0.102273256,0.016601516,104.4330597,129.621308,99,a_6n,a_6f,Activated,N,221114,CD69+,NK-Cells
21,934.9090909,326.2701111,2496.294444,61.67238788,1.13719103,157.7878788,278.3335859,2342.160808,74.00197879,25.99802121,1.060057071,0.865825516,1157.516946,814.1425825,294.8411572,37.42125948,102.4617028,3.150388125,0.117771317,162.4064109,37.50448262,156.2997512,2.633898444,2.633898444,0.135663618,0.127106309,97.23081757,68.85681523,99,c_3n,c_3f,Control,N,221114,CD69+,NK-Cells
5,942.8787879,390.598404,2444.50404,66.26258687,1.088236828,70.88888889,226.9868283,1976.303333,72.25931818,27.74068182,1.061923222,0.924243339,1084.973155,713.0680142,378.0571243,36.29497781,103.0921783,3.591770251,0.120778085,59.71580464,44.49966441,191.1444407,2.631915721,2.631915721,0.086133875,0.067601182,101.9027764,97.83650723,99,c_6n,c_6f,Control,N,221114,CD69+,NK-Cells
41,782.2424242,414.9135556,2544.791818,63.65919495,1.080185495,66.4040404,259.9719798,2114.67,74.9095596,25.0904404,0.946949242,0.921254794,1188.513566,717.2877294,249.2861273,62.49466618,96.60173426,2.570980452,0.094587426,41.36273567,30.33399456,271.8310777,5.075894652,5.075894652,0.093376039,0.044331137,78.21711963,75.61840684,99,c_3n,c_3f,Control,N,221114,CD69-,NK-Cells
158,738.7373737,431.7899798,2516.052424,64.62555051,1.036295556,61.04040404,308.473798,2515.899899,76.01917576,23.98082424,0.956550899,0.92513675,1167.839388,834.9656738,257.4554681,31.94468784,150.4859738,3.21948564,0.107198719,40.48782109,48.31634648,211.1460147,2.880656637,2.880656637,0.091138554,0.033708238,78.35938775,78.1719801,99,c_3n,c_3f,Control,N,221114,CD69-,NK-Cells
115,775.4848485,401.3847576,2447.782424,63.00836263,1.100044141,56.67676768,270.1537475,2154.650505,72.79851111,27.20148889,0.973729131,0.92760559,1159.045563,780.2591393,207.210401,39.65560356,73.26624822,3.19918667,0.118931057,33.26910324,80.00433063,215.4896499,2.653733683,2.653733683,0.084069125,0.048484071,67.69908605,92.6536765,99,c_5n,c_5f,Control,N,221114,CD69-,NK-Cells
