NADH_t1,NADH_t2,NADH_a1,FAD_t1,FAD_t2,FAD_a1,Norm_RR,NADH_tm,FAD_tm,Cell_Size_Pix,Donor,Activation,Cell_Type,count,Cellsize,NCR,NucI,NucRR,NucNtm,Gender,cell_index,n.p.mean,n.chi.mean,f.p.mean,f.a2.mean,f.chi.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,celltype,FAD,Type_Activation,Donor_Activation,Donor_CellType
381.3512632,2416.875965,50.26301754,174.1833596,2285.593684,77.07894386,0.883724877,1388.67205,654.0127455,57.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
512.1437045,2746.279545,55.48699091,169.04335,2373.694091,78.62169545,0.974629773,1490.433303,640.6715722,44.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
687.838,2841.17625,60.13807,193.0000875,2394.3655,78.620615,1.000725283,1507.880586,658.4459365,40.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
369.359,2427.245455,51.64005844,190.6544805,2359.873377,81.64038182,0.89642797,1357.854444,590.0228762,77.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
424.4286296,2483.227778,51.90468333,197.0197611,2295.423519,77.31905,0.863798506,1411.35551,673.9290042,54.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
414.2319344,2540.993607,54.24747541,192.8121295,2403.614918,77.54839836,0.936813952,1375.976917,685.6694975,61.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
389.744175,2375.1745,55.526105,250.1659275,2604.7295,81.10524,1.122550337,1271.816245,691.5140859,40.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
392.5432,2288.086,51.39544,154.5938,2274.578,76.43352,1.002617544,1306.646477,650.1290143,5.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
400.8213133,2370.36253,54.44806747,218.4428361,2437.699277,77.15617349,0.990310647,1288.613446,722.3701658,83.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
439.627,2483.413529,59.75750588,132.8796353,2519.832941,82.16748235,0.984394831,1259.589707,558.5568325,17.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
405.5166429,2391.843673,55.38708571,188.9420469,2426.287041,78.05676633,0.998337058,1287.078135,677.1658921,98.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
317.1,2367.38,56.1531,783.841,3032.345,79.8651,1.035586866,1214.324521,1236.611253,2.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
379.2623871,2289.226774,51.43710323,191.6717097,2303.163226,71.57539355,0.72138937,1305.076194,786.4938276,31.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
503.5977167,2463.704833,54.01322667,275.44681,2653.217,76.57878167,0.982778012,1402.150578,830.5192488,60.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
311.6412222,2352.216667,60.39141111,254.9275556,2680.305556,76.92734444,0.981638796,1119.844514,803.2250956,9.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
758.3307273,2977.717273,57.06366364,162.0048818,2360.791818,82.74440909,1.023807433,1681.099688,541.7761024,11.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
302.3356222,2306.804,53.36245778,176.6965111,2286.825111,78.91216,0.974168926,1238.953412,622.5424468,45.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
769.5445,2878.0625,64.298425,120.47245,2055.49,75.0403,0.891043841,1510.369562,592.5021983,4.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
500.8232093,2567.983721,51.8457814,183.5620233,2155.777907,78.9054093,0.959172507,1487.312075,596.8133678,43.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
524.2222105,2402.083684,57.66159474,237.2953684,2616.118421,74.95477368,0.938415287,1309.103863,825.8737743,19.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
448.311,2645.15,63.0811,97.18526667,2587.263333,86.60123333,1.071254771,1258.759669,429.9309714,3.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
579.2595294,2621.460588,69.66212647,213.0458529,2349.103824,71.49330588,1.0011423,1195.562195,803.9458014,34.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
442.2156667,2777.385556,60.9608,172.6645926,2600.264444,79.93874074,1.049288549,1353.006644,659.8211722,27.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
479.4441875,2561.68125,57.8805375,256.72875,2482.849375,78.984125,0.961641037,1354.666891,720.9825756,16.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
456.0522917,2353.954167,58.010725,258.5962917,2323.03875,74.55097083,1.120066997,1249.667285,779.6884114,24.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
270.256,2246.392,60.4674,135.439,2194.614,79.82038,0.969876161,1049.880424,548.638196,5.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
312.5965333,2442.34,54.09802,193.9852667,2274.046667,78.79045333,0.953662066,1288.381009,624.4487115,15.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
495.83016,2583.8548,62.607812,390.3956,2675.3568,79.465328,0.969799806,1248.865718,852.2165012,25.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
287.741,2114.02,61.019,309.5864667,2310.46,75.6114,1.226569927,999.654784,785.7308057,3.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
368.6825538,2353.487385,57.36542923,184.6125338,2452.134923,71.82836615,0.745079339,1213.22766,821.6504587,65.0,A,CD69-,B-Cells,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B-Cells: CD69-,B-Cells A: CD69-,A: B-Cells
