,NADH_tm,NADH_a1,NADH_t1,NADH_t2,FAD_tm,FAD_a1,FAD_t1,FAD_t2,Norm_RR,Activation,Donor
4975,1364.895069,52.82823906,346.8681719,2506.474531,984.8838049,67.34779531,276.1156875,2479.821875,0.97465882,0,1
4976,1245.394424,56.27979245,363.5834151,2374.00434,1083.090615,63.88270755,294.8220755,2482.477547,0.903594518,0,1
4977,829.0809814,76.72851311,407.7970082,2212.993852,614.5217903,79.53766967,209.6608607,2200.026557,1.142102109,0,1
4978,1252.123202,59.2154597,394.7080448,2503.473881,862.5036947,71.1287194,257.0150299,2363.882537,1.021945736,0,1
4979,1353.016511,49.38907091,372.1588909,2311.137455,844.2578785,73.18302182,249.4802727,2505.703273,0.904600485,0,1
4980,1339.598429,56.25040137,413.0718493,2540.669589,796.9501903,71.27266027,207.6542329,2279.081096,0.963189895,0,1
4981,1195.969374,56.96713529,324.7762941,2351.127353,918.8180323,70.30935294,337.9855882,2355.632353,0.911246268,0,1
4982,1161.130585,57.96401316,334.7531842,2303.641316,908.5523733,70.64553421,240.7678421,2521.565,0.879923601,0,1
4983,1469.611064,50.03528413,455.7632698,2490.537619,764.207675,75.58784127,202.1495524,2495.138413,1.031538278,0,1
4984,1371.856941,55.81452245,401.3066735,2615.241429,653.6478378,77.39858163,170.6182102,2313.689184,1.086629286,1,1
4985,1076.628043,62.96453649,308.5227027,2385.419459,786.9033018,71.25232027,230.6532703,2184.591351,0.913133341,1,1
4986,1104.499179,66.8033625,434.6925833,2453.73375,678.3281582,79.01477917,310.9292083,2087.129583,1.179277998,1,1
4987,1242.586276,58.97060294,445.4239412,2389.415,558.191193,80.87363529,184.1605,2145.857059,1.286282207,1,1
4988,1534.792332,44.49116667,460.1526667,2396.123333,409.9108512,82.53543333,103.94,1857.853333,1.146469314,1,1
4989,861.9861935,75.97698333,418.2593889,2268.457778,491.4082713,80.77408889,160.0345222,1931.533333,1.265341136,1,1
4990,922.1582687,72.27123153,408.323982,2264.431441,689.3422542,75.11585225,242.9905459,2048.211441,1.14243788,1,1
4991,918.7757483,71.91579474,411.1738947,2220.154211,567.1151842,78.17907895,207.3055421,1875.168421,1.164757207,1,1
4992,1225.58178,60.08180972,456.5568194,2384.505278,705.5244402,77.84334306,247.50625,2322.8975,1.19906106,1,1
4993,800.0844933,79.28069767,426.4902791,2233.128837,616.3143415,78.1208093,236.2890465,2004.456047,1.299660763,1,1
4994,1083.398464,68.56339828,452.2022931,2470.28069,720.8487389,79.64025862,310.8514828,2363.616034,1.196792635,1,1
4995,1222.849495,60.827225,405.19075,2493.08,561.9701936,82.163925,258.355225,1943.2775,1.269183514,1,1
4996,1375.566805,57.33819902,461.4698137,2606.886176,532.7233561,80.48236667,202.8431686,1905.884216,1.187177258,1,1
4997,1234.597946,64.093,473.9778571,2592.982857,527.9836244,80.77224286,180.3072857,1996.615714,1.204405943,1,1
4998,965.7423705,77.85505,502.23975,2600.3305,718.155705,78.30158,288.366,2315.8925,1.203211756,1,1
4999,1073.165406,67.9716875,443.830625,2414.66875,550.3348416,80.1214625,190.76225,2021.374375,1.251792661,1,1
5000,1149.516097,58.97383043,380.025087,2261.144493,695.4886742,74.21553768,153.9117652,2264.930725,0.801648592,0,2
5001,1242.351538,53.71761765,306.4279706,2337.934118,440.4371686,85.60751471,138.4817765,2281.197647,1.142064818,0,2
5002,1675.6664,48.16636613,608.0762742,2690.672903,700.4388576,75.83457419,164.9747645,2381.139516,0.975916664,0,2
5003,1542.688312,49.30656739,443.5045217,2625.188261,677.2634486,75.91485435,194.0450739,2216.188043,1.02242582,0,2
5004,1545.587417,49.63960488,557.6382073,2542.301098,587.057047,78.64538902,132.9589634,2266.296341,0.892220447,0,2
5005,1336.254629,57.88788696,540.0807826,2479.744783,605.8612928,77.73020435,133.1151739,2259.485217,0.729774755,0,2
5006,1516.535397,55.14731333,563.4581333,2771.624667,522.3684447,82.58012,130.8291333,2378.486667,0.804466133,0,2
5007,1163.319837,57.98272609,335.7127391,2306.615652,508.7924414,81.53333478,134.4520435,2163.162609,0.682040108,0,2
5008,1758.456312,48.58934286,615.691449,2910.516939,544.5638394,81.21539592,159.5570245,2243.209184,1.006296941,0,2
