,Norm_RR,NADH_tm,FAD_tm,NADH_a1,NADH_t1,NADH_t2,FAD_a1,FAD_t1,FAD_t2,Activation,Donor,Cell_Type
1948,0.987449796546642,1176.464936,947.0281517,65.54265618,457.3035169,2540.92191,72.06286629,399.5380899,2377.027191,0,6,1
1949,0.998762736790516,1248.865654,910.0019109,59.39550337,396.8975506,2502.177303,72.81081798,370.9985056,2395.565618,0,6,1
1950,0.9883400191186318,1259.8203,909.4024813,60.88842247,429.5730899,2547.761461,73.15122472,363.0310787,2411.735393,0,6,1
1951,0.9970072425590436,1089.669709,870.2949194,66.38980562,391.8885506,2466.017753,75.38824831,358.4749213,2460.439213,1,6,1
1952,1.0148909833639257,1034.800317,835.1326013,67.46573146,388.2139101,2383.607303,73.27922247,303.0711685,2323.504719,1,6,1
1953,1.0719683980977552,909.1476293,775.474164,74.23771333,385.3178667,2423.418556,76.71828333,314.5124444,2300.717111,1,4,1
1954,1.0159900174401302,1313.714682,994.1348689,55.19045,370.4867667,2475.476111,69.88077,350.7615556,2498.721111,0,5,1
1955,1.0458472976252848,1091.585981,895.9452758,66.75534333,402.3245111,2476.873556,72.68701111,372.8749889,2308.900889,1,5,1
1956,1.0188607113596706,1064.838238,852.3570737,67.13992778,404.7302444,2412.991889,75.67140111,349.0216222,2435.809222,0,6,1
1957,1.0231793438056398,1268.520699,1044.239647,61.33748111,464.8759222,2533.433,73.15239333,511.3056444,2580.316,0,6,1
1958,1.0114713002221585,1198.610859,768.0814114,62.45906556,405.7284111,2518.097889,74.74756111,305.3383,2160.345222,0,6,1
1959,1.0016804442895546,1061.392828,927.3309892,65.90008,390.8505556,2362.102556,72.85904333,367.3288333,2473.147333,1,6,1
1960,1.0207672493182565,1113.84297,1007.910447,63.40484066,434.9198022,2312.418242,73.39457143,432.4853846,2637.980659,0,4,1
1961,0.9159845990059504,1014.699701,1153.350579,66.88653626,374.0433846,2309.884066,64.98921099,383.2394945,2584.998571,0,5,1
1962,0.9792460520087836,1053.324609,997.4124306,66.99939121,402.6859121,2373.027582,71.83962857,423.7209341,2482.458681,0,6,1
1963,1.0020960586819845,1241.362547,986.6824544,60.5776956,418.7885824,2502.800549,70.64875824,372.3469121,2480.13,0,6,1
1964,1.021067819370011,1194.205796,962.0561741,65.16339231,456.8552198,2563.95011,71.46051538,383.9249341,2430.443187,0,6,1
1965,1.0127447911765517,1289.083241,898.7742694,61.99204725,461.367,2638.294066,74.18800879,355.3673956,2482.620549,0,6,1
1966,1.0551106122664968,1035.630786,861.2035194,70.51791304,402.8014674,2548.990435,73.44943043,327.1523478,2388.819891,1,5,1
1967,1.0277651241494945,1132.860606,844.010657,63.59500978,402.9109565,2408.007935,73.76330435,342.15075,2298.409348,0,6,1
1968,0.9820934694506608,1176.949223,976.4569651,62.88248261,418.1673696,2454.38913,73.48448804,417.0698261,2540.190109,0,6,1
1969,0.9858858842537148,1259.199566,974.8499156,61.59664565,423.7493261,2588.478913,70.91851957,381.05975,2453.018696,0,6,1
1970,1.009478577855797,1228.085515,687.0196773,61.66182935,430.5891848,2500.767283,76.08983478,254.1357609,2052.349891,0,6,1
1971,0.9936033806595655,1229.800408,836.8687158,60.89658478,403.6091304,2509.175543,70.62741196,313.2163261,2117.307391,0,6,1
1972,1.027777316794982,1210.306564,931.6150007,61.87190761,421.5475761,2486.68913,72.2292163,405.2461522,2346.378587,0,6,1
1973,1.021937113945306,1220.332224,791.3422516,62.27653696,433.3949783,2518.130543,74.01802283,309.893587,2184.978152,0,6,1
1974,1.0908304626509084,983.7501949,800.2377592,72.15545161,388.0586237,2536.402151,75.89580968,352.6014839,2239.297312,1,4,1
1975,1.1146034306803392,1174.669327,895.7896041,62.98671505,384.6186237,2527.245591,77.49601398,450.3782473,2471.262473,1,4,1
1976,0.9837571607224296,1470.965541,995.5055193,50.94344086,444.0005699,2545.943226,70.6831871,385.286043,2504.118817,0,5,1
1977,1.0092195435178832,1335.729433,1097.518546,55.54708172,411.2695806,2491.98828,68.45230968,490.5657957,2489.443333,0,5,1
1978,1.032343320855319,1154.623372,792.0807438,65.03022258,436.3573871,2487.677849,76.81116559,335.8997849,2346.387312,0,6,1
1979,1.0098909870595438,1369.728989,942.8131143,57.78525054,438.3461935,2641.073441,71.17494516,399.203172,2328.543011,0,6,1
