Norm_RR,NADH_tm,FAD_tm,Cell_Size_Pix,NADH_a1,NADH_t1,NADH_t2,FAD_a1,FAD_t1,FAD_t2,Donor,Activation
1.008070873,1232.806542,1058.209557,234,64.92015214,485.870953,2660.632436,72.16208846,446.8127222,2701.225684,4,0
1.007384396,1001.246652,802.8477345,194,67.53707165,387.4326753,2304.96067,77.25824742,338.2231552,2417.769588,4,0
0.964689702,1223.864517,1177.517665,374,65.0235762,496.9057353,2628.733048,69.51547219,537.4678198,2698.08746,4,0
0.967476219,1230.38452,1028.785253,246,64.44178496,467.3449593,2667.567439,69.18851138,325.0681382,2628.027154,4,0
0.982867014,1173.481956,1036.982425,168,67.80390476,477.9026905,2682.891845,72.9732875,423.3225202,2754.368512,4,0
0.963286943,1324.263705,935.1254256,199,67.48680905,625.1940402,2852.792462,72.27898844,305.2957357,2595.542111,4,0
0.973202898,1124.403205,1052.924322,173,65.85231676,425.9128671,2522.14526,69.47579595,393.0817514,2597.18896,4,0
0.973494163,1183.840506,1000.077711,186,65.1858629,464.0111559,2569.750968,69.58658333,359.9242312,2499.527688,4,0
1.017725616,1140.987502,1063.544134,230,67.42762391,450.9233217,2631.748174,73.40339087,471.1540217,2746.371565,4,0
1.031569945,938.4569845,967.4009748,274,71.73995657,394.2295,2343.079708,71.48633796,384.777788,2485.83219,4,0
0.987209703,1189.464925,1078.350086,366,63.91065355,445.0030246,2544.996749,68.65102814,393.9223516,2603.805301,4,0
1.009502686,961.2413508,1072.41793,257,72.48284942,429.7636809,2418.595253,73.18443813,480.3051805,2739.842257,4,0
0.993310968,1215.553186,916.1238358,276,64.70245652,470.0794638,2626.785797,73.04761341,344.2499967,2500.951051,4,0
1.022256675,1031.366501,930.3008414,233,66.99030987,370.8432017,2376.445622,72.90532618,362.6038884,2500.315622,4,0
0.980218311,1015.249378,652.5898435,247,73.85523077,459.5833955,2623.416437,80.12907368,227.6466899,2279.302146,4,0
1.012777365,1212.933527,1000.143333,183,63.37199126,474.6336885,2538.097432,71.91888142,408.0240393,2567.618962,4,0
1.007760217,781.2220695,940.6255348,155,77.43958065,362.8495613,2233.617226,71.51244323,380.9011548,2375.342452,4,0
0.999967399,1136.282481,1016.563098,183,64.50802951,421.3321803,2467.610164,70.3334224,405.1472514,2517.026503,4,0
0.951501932,1146.355125,871.023874,177,63.32836045,436.7109887,2403.048644,68.95559435,257.6666045,2235.765819,4,0
0.997351886,909.7514018,1025.346546,155,70.77843355,371.9093871,2228.224387,70.96152323,416.5428774,2572.051613,4,0
0.981992698,966.75524,913.9415329,405,70.52524296,403.3426272,2325.008074,70.82420148,310.1626815,2398.18484,4,0
0.990236546,1021.089344,1012.690032,213,68.86264648,393.9282347,2433.527746,68.40118498,362.0862347,2446.357371,4,0
1.012189129,761.7084992,1002.281369,179,78.71280223,413.714324,2069.212067,67.81282067,345.8890894,2411.856927,4,0
0.937500378,1104.835727,845.6736985,253,63.81275375,382.743498,2407.772372,72.3178004,284.5014372,2327.847194,4,0
0.977973525,1206.283778,994.8417747,201,67.31063831,506.6868657,2729.016915,71.46071443,374.3272915,2587.096468,4,0
0.949531295,1270.042145,1023.058942,241,64.41515768,522.2446274,2689.20195,69.45886058,361.114668,2556.982199,4,0
0.967670521,1094.188708,907.5677932,220,66.78816045,456.1943273,2400.074682,69.75774318,274.1691909,2382.4365,4,0
1.040806938,961.1507565,860.6041175,225,70.38178489,374.0152,2374.814978,75.11484267,332.1891956,2498.957333,4,0
1.048919255,988.1867,790.9466755,65,69.34526,398.7458,2356.071692,76.50185846,312.7227692,2362.624615,4,0
1.037624303,1111.33282,858.7323914,118,64.02168136,405.4035932,2379.975763,76.49155085,342.1256017,2565.545,4,0
1.06415922,1138.40533,819.8720471,143,62.9340965,409.0031958,2398.208811,77.52353427,321.5766713,2621.598182,4,0
1.023566765,1060.040247,946.6262006,224,69.66297589,467.2736027,2482.573304,76.30948616,433.0678696,2642.339018,4,0
1.015547539,1222.271151,956.6759007,249,62.44765863,463.9612799,2530.358594,73.77178193,340.7243574,2710.138795,4,0
1.003522742,1148.909395,974.5857665,243,64.93616008,452.4946914,2506.91251,72.45881152,365.4019177,2666.095103,4,0
1.028883139,892.7337484,995.5169376,299,73.93371237,407.5370903,2286.952609,72.95298395,417.10679,2598.790635,4,0
1.016818692,1123.969457,902.218597,194,64.24867784,403.2424175,2435.072423,72.72613608,321.5938969,2475.990979,4,0
0.99902906,1198.078962,954.0969242,212,62.99721604,432.4534151,2540.226085,70.23446509,323.9166557,2461.209717,4,0
0.996295122,1003.450454,1027.065581,243,68.11908724,374.9242099,2362.340494,69.73536337,389.7488601,2528.569012,4,0
1.019808756,1012.251564,978.1355675,262,69.61727137,398.4427863,2436.066679,71.81932519,338.9590382,2623.166947,4,0
1.012422025,1018.344334,990.759815,285,69.47310105,411.6616842,2428.576456,70.34513719,359.8262561,2528.665509,4,0
0.969298705,1047.72974,1026.247542,276,67.7223971,398.587942,2430.267101,67.85315399,369.4610942,2440.057319,4,0
0.991612155,1301.021987,945.2445897,270,63.46829852,540.9253741,2684.407407,70.42191037,305.3443633,2497.338037,4,0
0.986252648,1053.525525,1010.789362,257,66.12215292,388.2404125,2363.005992,66.13652607,343.3886031,2346.73144,4,0
