NADH,n.t1.mean,n.t2.mean,n.a1.mean,f.t1.mean,f.t2.mean,f.a1.mean,rr.mean,n.tm.mean,f.tm.mean,npix,Group,Donor,Experiment_Date,Activation,Cell_Type
NK_act_1n,244.4191818,2413.717273,58.14517727,153.7520632,1794.858636,61.2055,0.951684282,1150.50625,775.2121792,22,Activated,M,221101,CD69+,NK-Cells
NK_act_1n,291.5520822,2354.302603,57.07974795,177.8428027,1924.558356,70.6728863,0.939916772,1168.329455,674.7354252,73,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,256.919875,2138.241625,63.14047375,138.5785698,1533.908,75.568455,0.898104099,949.0596461,479.8769518,80,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,272.7378788,2210.723586,63.29664646,198.0861657,1980.207576,71.56142172,0.894921196,985.1614445,697.1254126,198,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,295.7540466,2240.982094,64.25463867,225.9286492,2051.546755,70.19091239,0.947953775,990.8696369,740.7871775,339,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,294.0965131,2435.768415,57.4597747,192.7224704,2026.786738,67.74702744,0.933476119,1201.340427,772.1568393,328,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,283.8900308,2243.156725,60.011856,201.2881435,1904.556365,71.706303,0.93567216,1068.010262,670.5443883,400,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,271.905936,2295.746548,63.5211756,196.6451464,1904.654464,69.46435,0.914043149,1012.359308,707.0276047,336,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,287.0046284,2240.124487,67.48526217,209.2933587,2007.206217,70.40078006,0.912097526,922.9489118,732.2285462,341,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,275.7011011,2351.257457,60.29505286,208.623847,1973.357371,69.018648,0.934761206,1104.083634,735.2471527,350,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,294.2791851,2352.880938,61.19414375,216.626271,2003.126319,69.13633611,0.904467815,1089.651803,754.6901186,288,Activated,M,221101,CD69+,NK-Cells
