NADH,NADH_t1,NADH_t2,NADH_a1,FAD_t1,FAD_t2,FAD_a1,Norm_RR,NADH_tm,FAD_tm,Cell_Size_Pix,Group,Donor,Experiment_Date,Activation,Cell_Type
NK_act_3n,365.3968041,1854.320912,83.78644223,286.9955845,2105.341047,73.12460743,1.000667033,606.3364283,772.2187864,296,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,381.1732217,1899.884739,83.75234174,319.0404739,2206.730348,72.5283813,1.016652575,626.4086935,835.0836438,230,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,376.4827742,1829.840833,85.04208333,318.0814167,2225.964005,73.61990511,1.023505296,593.0033509,820.1357866,372,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,34.02885512,549.6844537,98.60526878,80.8689278,642.8363756,97.33762049,0.777529218,41.03911581,92.18218507,205,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,399.2857326,2246.968715,75.14840278,379.4506128,2621.619549,72.97029306,1.006241231,851.2866035,967.1444714,288,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,369.0247571,1901.931371,83.83654629,327.5027571,2142.910457,74.53084457,0.979243782,614.6561769,787.7743393,350,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,479.6939453,2479.391604,69.82862642,298.2667642,2638.825425,72.34291604,1.017438736,1066.908418,929.2681634,212,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,448.3029913,2401.469696,72.03413522,371.3387391,2552.660304,68.58082174,1.003991271,982.4318293,1038.946347,230,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,33.85756688,773.3615414,98.81612484,99.10931656,1155.847917,95.28695732,0.759400203,42.42147122,169.6190957,157,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,35.09897594,779.4167968,98.88115455,79.35228075,581.6002032,97.08850214,0.614006945,43.53648497,92.03466247,187,Activated,D,220309,CD69-,NK-Cells
NK_act_3n,32.07656531,346.8890714,97.97055306,75.7596949,482.3941735,95.80876429,0.646943167,37.4440093,89.27981776,98,Activated,D,220309,CD69-,NK-Cells
NK_act_4n,427.0043985,2422.946015,69.32883609,419.0329173,2990.146842,77.82882632,1.036600021,1028.263948,982.5849321,133,Activated,D,220309,CD69-,NK-Cells
NK_act_4n,480.6323607,2542.117489,71.69784338,434.0754699,2916.566438,73.42691233,1.012667775,1049.258856,1085.011699,219,Activated,D,220309,CD69-,NK-Cells
NK_act_4n,419.8208901,2437.037853,74.84214764,429.1328979,2743.429319,69.79494262,1.033921329,919.6909509,1103.321444,191,Activated,D,220309,CD69-,NK-Cells
NK_act_4n,410.4124402,2451.362179,69.46842778,444.2275812,2725.501795,69.96679872,1.037050701,1028.080552,1116.725072,234,Activated,D,220309,CD69-,NK-Cells
NK_act_4n,439.7178642,2497.934895,69.71903105,462.6026579,2745.512421,74.39382316,1.012706305,1048.506672,1035.326563,190,Activated,D,220309,CD69-,NK-Cells
NK_act_4n,44.09153934,1085.919667,97.84599508,133.9762426,1562.528077,92.97204317,0.942593,72.33026711,264.4272126,183,Activated,D,220309,CD69-,NK-Cells
NK_act_4n,471.2758129,2411.844774,68.10813355,420.2526613,2715.979935,73.34299677,1.040639852,1078.989413,1014.218231,155,Activated,D,220309,CD69-,NK-Cells
NK_act_4n,489.5114306,2555.843493,66.8078823,387.8574833,2577.849187,75.22580766,0.995995708,1158.427022,913.3705505,209,Activated,D,220309,CD69-,NK-Cells
NK_act_4n,435.1515967,2460.646133,70.1846,284.606242,2565.319724,76.71254917,1.02962695,1027.068963,809.5221719,181,Activated,D,220309,CD69-,NK-Cells
NK_act_4n,405.8924286,2403.678265,66.4593148,377.0705918,2497.052806,66.8151852,0.998067445,1071.905334,1077.153812,196,Activated,D,220309,CD69-,NK-Cells
NK_act_4n,575.4037808,2844.227808,63.97232945,402.2142877,2773.966986,63.63749247,0.955540562,1374.815237,1251.463842,146,Activated,D,220309,CD69-,NK-Cells
NK_act_4n,441.6186082,2511.860936,63.69689766,342.1007439,2572.545906,70.29255497,1.00789337,1180.868559,996.1239308,171,Activated,D,220309,CD69-,NK-Cells
NK_act_4n,503.4175939,2502.545636,73.29781697,436.2905455,2748.904606,71.64466182,1.009809476,1025.062244,1074.493398,165,Activated,D,220309,CD69-,NK-Cells
NK_act_4n,274.5065932,1967.429424,73.9200466,308.4198325,2148.79801,72.47539058,0.848687002,712.663133,812.7871851,191,Activated,D,220309,CD69-,NK-Cells
NK_act_4n,503.1875659,2593.77456,69.30543681,380.9690225,2848.697637,69.15106538,1.020592608,1125.54941,1118.619721,182,Activated,D,220309,CD69-,NK-Cells
